CENTRALWAVELNG,BANDWIDTH,FLAM,FLAMERR1,FLAMERR2,FLAM_AUTHORS,FNU,FNUERR1,FNUERR2,FNU_AUTHORS,OBS_DATE,OBS_DATEERR1,OBS_DATEERR2
4.92683,,1.933342674399036e-16,1.12224817922881e-17,-1.12224817922881e-17,Calculated,0.0015653502528086471,9.086394741769828e-05,-9.086394741769828e-05,M&acirc;lin et al. 2025,,,
4.92763,,2.1240517001643522e-16,1.2073352009026197e-17,-1.2073352009026197e-17,Calculated,0.001720318799390005,9.778488174828198e-05,-9.778488174828198e-05,M&acirc;lin et al. 2025,,,
4.92843,,2.156226543844397e-16,1.2789227205418872e-17,-1.2789227205418872e-17,Calculated,0.0017469455880174823,0.00010361658938130557,-0.00010361658938130557,M&acirc;lin et al. 2025,,,
4.92923,,2.2193079221933628e-16,1.1918724106900387e-17,-1.1918724106900387e-17,Calculated,0.001798637604624266,9.659527262276413e-05,-9.659527262276413e-05,M&acirc;lin et al. 2025,,,
4.93003,,2.243749270042639e-16,1.2107789860741971e-17,-1.2107789860741971e-17,Calculated,0.0018190369576762393,9.815944021253656e-05,-9.815944021253656e-05,M&acirc;lin et al. 2025,,,
4.93083,,2.3061152249155917e-16,1.166686225061193e-17,-1.166686225061193e-17,Calculated,0.0018702052454389368,9.461551072196137e-05,-9.461551072196137e-05,M&acirc;lin et al. 2025,,,
4.93163,,2.1253624537984785e-16,1.1637588844156747e-17,-1.1637588844156747e-17,Calculated,0.0017241788704903155,9.440876662090228e-05,-9.440876662090228e-05,M&acirc;lin et al. 2025,,,
4.93243,,2.0594893573087657e-16,1.1100372979830687e-17,-1.1100372979830687e-17,Calculated,0.0016712825944076076,9.007990299530437e-05,-9.007990299530437e-05,M&acirc;lin et al. 2025,,,
4.93323,,2.120278919875816e-16,1.2372223971679414e-17,-1.2372223971679414e-17,Calculated,0.001721172246841472,0.00010043361904955694,-0.00010043361904955694,M&acirc;lin et al. 2025,,,
4.93403,,2.0462229188770652e-16,1.2669866611062266e-17,-1.2669866611062266e-17,Calculated,0.0016615953257831915,0.00010288317536190386,-0.00010288317536190386,M&acirc;lin et al. 2025,,,
4.93483,,2.1373451007663155e-16,1.3059233905804266e-17,-1.3059233905804266e-17,Calculated,0.001736152708845902,0.0001060793800350037,-0.0001060793800350037,M&acirc;lin et al. 2025,,,
4.93563,,2.1354029491959975e-16,1.1248378457968197e-17,-1.1248378457968197e-17,Calculated,0.001735138086416179,9.13995640972232e-05,-9.13995640972232e-05,M&acirc;lin et al. 2025,,,
4.93643,,2.1132665786296144e-16,1.1074942153028488e-17,-1.1074942153028488e-17,Calculated,0.0017177082384171396,9.00194966817032e-05,-9.00194966817032e-05,M&acirc;lin et al. 2025,,,
4.93724,,2.019659998402854e-16,1.2605824871099758e-17,-1.2605824871099758e-17,Calculated,0.0016421554436674205,0.00010249608325344236,-0.00010249608325344236,M&acirc;lin et al. 2025,,,
4.93804,,2.018839845017784e-16,1.3649858261677247e-17,-1.3649858261677247e-17,Calculated,0.0016420210933932038,0.00011102096703121138,-0.00011102096703121138,M&acirc;lin et al. 2025,,,
4.93884,,2.2304855571765586e-16,1.4089777434396187e-17,-1.4089777434396187e-17,Calculated,0.0018147513177074707,0.00011463621489503089,-0.00011463621489503089,M&acirc;lin et al. 2025,,,
4.93964,,2.198112582245834e-16,1.3421948771655318e-17,-1.3421948771655318e-17,Calculated,0.0017889922336063132,0.00010923809047041664,-0.00010923809047041664,M&acirc;lin et al. 2025,,,
4.94044,,2.333434168301238e-16,1.416546408758301e-17,-1.416546408758301e-17,Calculated,0.0018997430794528893,0.0001153267691593611,-0.0001153267691593611,M&acirc;lin et al. 2025,,,
4.94124,,2.2424301470804975e-16,1.3057734142283093e-17,-1.3057734142283093e-17,Calculated,0.0018262448909302574,0.00010634275629730039,-0.00010634275629730039,M&acirc;lin et al. 2025,,,
4.94204,,2.1417407414124562e-16,1.1347329549130407e-17,-1.1347329549130407e-17,Calculated,0.0017448083794078838,9.24431015313657e-05,-9.24431015313657e-05,M&acirc;lin et al. 2025,,,
4.94284,,2.115218541593309e-16,1.1425131806118662e-17,-1.1425131806118662e-17,Calculated,0.0017237600515200124,9.310709699009732e-05,-9.310709699009732e-05,M&acirc;lin et al. 2025,,,
4.94364,,2.0401318640428678e-16,1.1343648496452179e-17,-1.1343648496452179e-17,Calculated,0.001663108218949778,9.247301794473858e-05,-9.247301794473858e-05,M&acirc;lin et al. 2025,,,
4.94444,,2.1738892909997108e-16,1.1049387730912008e-17,-1.1049387730912008e-17,Calculated,0.001772720941474547,9.010339717921839e-05,-9.010339717921839e-05,M&acirc;lin et al. 2025,,,
4.94524,,2.2888282292135903e-16,1.0821052001664585e-17,-1.0821052001664585e-17,Calculated,0.001867053709971197,8.826999347365071e-05,-8.826999347365071e-05,M&acirc;lin et al. 2025,,,
4.94604,,2.286849768424574e-16,1.2413901150975116e-17,-1.2413901150975116e-17,Calculated,0.0018660440053939345,0.00010129605427595894,-0.00010129605427595894,M&acirc;lin et al. 2025,,,
4.94684,,2.0433545309306429e-16,1.3778104501423366e-17,-1.3778104501423366e-17,Calculated,0.001667894528576991,0.00011246420904560132,-0.00011246420904560132,M&acirc;lin et al. 2025,,,
4.94765,,1.971289299710504e-16,1.1316957948338362e-17,-1.1316957948338362e-17,Calculated,0.0016095920319688555,9.240493185067825e-05,-9.240493185067825e-05,M&acirc;lin et al. 2025,,,
4.94845,,1.9494248497074991e-16,1.0579438671220124e-17,-1.0579438671220124e-17,Calculated,0.0015922546067668624,8.641092250252818e-05,-8.641092250252818e-05,M&acirc;lin et al. 2025,,,
4.94925,,2.015313189633144e-16,1.2778476418538447e-17,-1.2778476418538447e-17,Calculated,0.0016466037801419493,0.0001044060431076242,-0.0001044060431076242,M&acirc;lin et al. 2025,,,
4.95005,,2.0850896339286622e-16,1.2103492533328788e-17,-1.2103492533328788e-17,Calculated,0.0017041656684172782,9.892311633807433e-05,-9.892311633807433e-05,M&acirc;lin et al. 2025,,,
4.95085,,2.1820846197342128e-16,1.2459294536394894e-17,-1.2459294536394894e-17,Calculated,0.0017840177459116041,0.00010186407233453396,-0.00010186407233453396,M&acirc;lin et al. 2025,,,
4.95165,,2.1791793436988897e-16,1.3372318080981137e-17,-1.3372318080981137e-17,Calculated,0.001782218846234648,0.00010936409327979568,-0.00010936409327979568,M&acirc;lin et al. 2025,,,
4.95245,,2.1109629924719326e-16,1.3839644864940253e-17,-1.3839644864940253e-17,Calculated,0.0017269872514447519,0.00011322268714093731,-0.00011322268714093731,M&acirc;lin et al. 2025,,,
4.95325,,2.0779644318965693e-16,1.3066654097195652e-17,-1.3066654097195652e-17,Calculated,0.0017005407855386406,0.00010693339058997333,-0.00010693339058997333,M&acirc;lin et al. 2025,,,
4.95405,,2.0762989573949954e-16,1.21536024650474e-17,-1.21536024650474e-17,Calculated,0.0016997272499500154,9.949342420717116e-05,-9.949342420717116e-05,M&acirc;lin et al. 2025,,,
4.95485,,1.9896840377241023e-16,1.432617822041209e-17,-1.432617822041209e-17,Calculated,0.001629348002712578,0.00011731676702112446,-0.00011731676702112446,M&acirc;lin et al. 2025,,,
4.95565,,2.037770874432229e-16,1.497240062377762e-17,-1.497240062377762e-17,Calculated,0.0016692656257622353,0.00012264830168100545,-0.00012264830168100545,M&acirc;lin et al. 2025,,,
4.95645,,2.1028512546670323e-16,1.3572498032300753e-17,-1.3572498032300753e-17,Calculated,0.001723133769873754,0.00011121675700598071,-0.00011121675700598071,M&acirc;lin et al. 2025,,,
4.95725,,2.056724761206214e-16,1.2638813996224114e-17,-1.2638813996224114e-17,Calculated,0.0016858810694524652,0.00010359936175450524,-0.00010359936175450524,M&acirc;lin et al. 2025,,,
4.95806,,2.0580082336667655e-16,1.3024432391864633e-17,-1.3024432391864633e-17,Calculated,0.001687478158136672,0.00010679473883464605,-0.00010679473883464605,M&acirc;lin et al. 2025,,,
4.95886,,2.0925713577315303e-16,1.3214731343701435e-17,-1.3214731343701435e-17,Calculated,0.0017163727115214423,0.00010839011145122521,-0.00010839011145122521,M&acirc;lin et al. 2025,,,
4.95966,,2.3071773605973034e-16,1.1825902353016257e-17,-1.1825902353016257e-17,Calculated,0.0018930084632193215,9.702996233314909e-05,-9.702996233314909e-05,M&acirc;lin et al. 2025,,,
4.96046,,2.128933757970923e-16,1.1267007579073815e-17,-1.1267007579073815e-17,Calculated,0.0017473260416274682,9.247415839229048e-05,-9.247415839229048e-05,M&acirc;lin et al. 2025,,,
4.96126,,2.0580028127481183e-16,1.049739439742437e-17,-1.049739439742437e-17,Calculated,0.001689654733531062,8.618536390465754e-05,-8.618536390465754e-05,M&acirc;lin et al. 2025,,,
4.96206,,2.1577848968260515e-16,1.1896501751847338e-17,-1.1896501751847338e-17,Calculated,0.0017721494160958258,9.770380107919893e-05,-9.770380107919893e-05,M&acirc;lin et al. 2025,,,
4.96286,,2.1428635186757854e-16,1.2859748788382257e-17,-1.2859748788382257e-17,Calculated,0.0017604628193433043,0.00010564886382513176,-0.00010564886382513176,M&acirc;lin et al. 2025,,,
