wavelength,flux,err
1.9399261474609375,1.6793613574028673e-15,5.928982836014618e-17
1.940213680267334,1.614825060907115e-15,2.9877861971854605e-17
1.94050133228302,1.5803335731797752e-15,2.679735350452029e-17
1.9407888650894165,1.4587139029418886e-15,3.5849942522958284e-17
1.9410763978958128,1.5096927047686677e-15,4.578145568570891e-17
1.9413640499114992,1.4033008938622462e-15,5.0170860327198484e-17
1.9416515827178955,1.5432173070732848e-15,4.1613593789008444e-17
1.941939115524292,1.6597241404584401e-15,2.568254239521612e-17
1.942226767539978,1.6905510095920458e-15,1.8484243469505878e-17
1.9425143003463743,1.683466142825644e-15,1.7455890352612734e-17
1.9428019523620603,1.7092536925317353e-15,1.8423344269455512e-17
1.9430894851684568,1.7174231288645424e-15,2.0189963191597812e-17
1.9433770179748535,1.573759202411948e-15,2.6719613398749138e-17
1.9436646699905396,1.3662960291602941e-15,3.2810066733320924e-17
1.943952202796936,1.6917880527979961e-15,3.1996882780228085e-17
1.9442397356033323,1.7643936368891424e-15,3.563510156194912e-17
1.9445273876190183,1.5173539894085517e-15,5.177537344395218e-17
1.9448149204254153,1.3447852431395413e-15,5.658235459915443e-17
1.9451025724411009,1.5718899468580203e-15,3.9473310128379864e-17
1.9453901052474976,1.4800349877493581e-15,2.592136267265354e-17
1.945677638053894,1.3811732741385869e-15,2.43859992466509e-17
1.94596529006958,1.2586441070803157e-15,2.758933321299931e-17
1.9462528228759763,1.37730282550869e-15,2.6584352823447218e-17
1.9465403556823728,1.6309983318215388e-15,2.3141077708521978e-17
1.9468280076980593,1.6793262865903277e-15,2.6281333735755575e-17
1.9471155405044556,1.4629892600438363e-15,3.3528745864855485e-17
1.9474031925201416,1.5296934766334613e-15,3.2758169666970626e-17
1.947690725326538,1.7012468572388852e-15,2.877355335186718e-17
1.9479782581329343,1.6097639863231588e-15,3.2105028530293456e-17
1.9482659101486208,1.302124975484977e-15,3.421914680947416e-17
1.9485534429550169,1.5060160833300003e-15,2.9195572324788595e-17
1.9488409757614136,1.734136715345422e-15,2.640384714907987e-17
1.9491286277770996,1.5015611524151818e-15,2.843702241489366e-17
1.949416160583496,1.4820979767222888e-15,2.838575245030502e-17
1.949703812599182,1.7215961804678778e-15,2.607175867131511e-17
1.9499913454055784,1.6073568532806525e-15,2.488302574406895e-17
1.950278878211975,1.479160092880383e-15,2.4208467910078333e-17
1.9505665302276611,1.3865203540119723e-15,2.522827456768234e-17
1.9508540630340576,1.3184775388955933e-15,2.7516419446487277e-17
1.951141595840454,1.4182721923832593e-15,2.7533975365431636e-17
1.95142924785614,1.4797329474092756e-15,3.225854831623506e-17
1.9517167806625368,1.5787212535252037e-15,4.5465730461388523e-17
1.9520044326782224,1.5067168431752144e-15,5.230388543145497e-17
1.9522919654846191,1.5798692131164139e-15,4.4791218048319897e-17
1.9525794982910156,1.556577504978665e-15,3.730704276999138e-17
1.9528671503067017,1.6146333904770845e-15,4.1994244558334867e-17
1.953154683113098,1.2793726451914234e-15,5.120540827177455e-17
1.9534422159194944,1.3409416133662925e-15,4.422537006294195e-17
1.9537298679351809,1.7281553601350864e-15,3.592172809237575e-17
1.9540174007415771,1.6519659891090544e-15,4.005039026820845e-17
1.9543049335479736,1.3626209080772433e-15,4.109942602170805e-17
1.9545925855636597,1.6927910405277448e-15,3.417895368908677e-17
1.954880118370056,1.7629429805522676e-15,3.1144129878127444e-17
1.955167770385742,1.610917009614575e-15,4.151058792908301e-17
1.9554553031921384,1.3298402946140461e-15,5.844447174237465e-17
1.9557428359985352,1.443910362933265e-15,7.611718399427167e-17
1.9560304880142212,1.465104198829995e-15,8.785562641483453e-17
1.9563180208206177,1.3318068857386057e-15,8.362416643620292e-17
1.956605553627014,1.3776916051578617e-15,5.238882548595693e-17
1.9568932056427,1.5872592147063572e-15,3.799652943540614e-17
