wavelength,flux,err
4.99089,1.9956753487383916e-16,1.1054341211387206e-17
4.99169,2.048718735109458e-16,1.0684163710265761e-17
4.99249,2.0641799347319416e-16,1.332377001608347e-17
4.99329,2.226446959292605e-16,1.1781266489081869e-17
4.99409,2.078528554736722e-16,1.3023092895547345e-17
4.99489,1.991018133341849e-16,1.3079121562261329e-17
4.99569,1.9781043307416331e-16,1.2240489379363485e-17
4.99649,2.1028188031959622e-16,1.3048926571710898e-17
4.99729,2.2125541088420471e-16,1.1657895605626093e-17
4.99809,2.2089054654049702e-16,1.3835938611225225e-17
4.99889,2.222233768113816e-16,1.0573480026509728e-17
4.99969,1.9599109393731816e-16,1.1419150826031045e-17
5.0005,1.8932808489537943e-16,1.1040876283597696e-17
5.0013,2.100139448486172e-16,1.1228349259756277e-17
5.0021,2.0634567377763304e-16,1.288797527582867e-17
5.0029,2.0269073310611264e-16,1.237631889601754e-17
5.0037,1.976938372256725e-16,1.2410303228285158e-17
5.0045,2.2421793403431075e-16,1.193141922936477e-17
5.0053,2.2307259002004483e-16,1.1760419428372787e-17
5.0061,2.1817026210031347e-16,1.1042291973256094e-17
5.0069,2.1619483690518802e-16,1.0157947075125166e-17
5.0077,2.2298134649564003e-16,1.1967110594305576e-17
5.0085,2.0852681963981751e-16,1.0692623076088274e-17
5.0093,2.0117034974898516e-16,1.3417198630350089e-17
5.0101,2.0848463393501467e-16,1.2572957898235239e-17
5.01091,2.112144529587902e-16,1.1940057871359454e-17
5.01171,2.098524094245985e-16,1.2248747268273825e-17
5.01251,2.0248958087067038e-16,1.161939888295728e-17
5.01331,2.0042650947184014e-16,1.5102580258478758e-17
5.01411,2.057761436999887e-16,1.2698226685270137e-17
5.01491,2.1596714843825162e-16,1.1264259889624789e-17
5.01571,2.0261770838704564e-16,1.108395270335148e-17
5.01651,1.9237791323658747e-16,1.113913802540898e-17
5.01731,1.936850950123629e-16,1.2419992407735949e-17
5.01811,1.999809807835218e-16,1.1316770124884057e-17
5.01891,1.886420561644177e-16,1.161739546898356e-17
5.01971,1.887312758655119e-16,1.086247259141045e-17
5.02051,1.9218557296215082e-16,1.1935447608141605e-17
5.02132,2.0478023914397767e-16,1.1344185379366036e-17
5.02212,2.0280718272659307e-16,1.097410827832734e-17
5.02292,2.0879983079497262e-16,1.342995652713404e-17
5.02372,2.0451239341013247e-16,1.0181123935194999e-17
5.02452,1.9871789489860254e-16,1.2497735049947093e-17
5.02532,2.0804455192938648e-16,1.191924768490815e-17
5.02612,2.1124379167984056e-16,1.1802588347001205e-17
5.02692,1.936796438577224e-16,1.2494110830426513e-17
5.02772,1.9656286706805232e-16,1.3443455101236589e-17
5.02852,1.8172305758586242e-16,1.5272217129424126e-17
5.02932,1.813382252976547e-16,1.4428255483707358e-17
5.03012,1.7967891960169384e-16,1.3297552275527941e-17
5.03092,1.95166090626733e-16,1.205009446838793e-17
5.03173,2.0449383462033174e-16,1.2387797208336077e-17
5.03253,2.1193090643164354e-16,1.2942783772191358e-17
5.03333,1.9848741241951091e-16,1.3407721417655424e-17
5.03413,2.0051014568418942e-16,1.2876410653741634e-17
5.03493,2.134822649546003e-16,1.1991043837772797e-17
5.03573,2.0371653781827374e-16,1.375433559600132e-17
5.03653,2.0895396687400616e-16,1.238746131207444e-17
5.03733,2.1068397520419288e-16,1.2505618968587333e-17
5.03813,1.9956543012120024e-16,1.289957384695263e-17
5.03893,1.983611579499323e-16,1.2933549882565907e-17
5.03973,1.863608545444312e-16,1.5186132797835008e-17
5.04053,1.9995787996360594e-16,1.2575895019850637e-17
5.04133,1.9123634876036743e-16,1.2977710047787329e-17
5.04214,1.9939743759403867e-16,1.1092213548580244e-17
5.04294,2.004126818892622e-16,1.1881827481379645e-17
5.04374,2.0013786861312583e-16,1.3648559854636973e-17
5.04454,1.988642569021392e-16,1.3629522021139278e-17
5.04534,1.9437076967306971e-16,1.4572232210594286e-17
5.04614,2.1091913178700322e-16,1.1926459047526286e-17
5.04694,1.8147416860137504e-16,1.26551787505185e-17
5.04774,1.8711187975607711e-16,1.1280933923989363e-17
5.04854,1.8817501781201536e-16,1.1017241335176793e-17
5.04934,1.9364744238770047e-16,1.2931213952761408e-17
5.05014,2.0284143294568072e-16,1.0675489517876446e-17
5.05094,1.9871615734313851e-16,1.2943985983610261e-17
5.05174,2.071451347998547e-16,1.1730006731355993e-17
5.05254,1.996407666630725e-16,1.2827917912160803e-17
5.05335,1.8784782187823182e-16,1.3983174808034972e-17
5.05415,1.9561381756223591e-16,1.2688697816900648e-17
5.05495,1.8728342109052527e-16,1.1641391999391732e-17
5.05575,1.8632187317820763e-16,1.154805236296817e-17
5.05655,2.1251155063830532e-16,1.2484123697815301e-17
5.05735,2.1293750416919504e-16,1.3034220176774508e-17
5.05815,1.9750471489132336e-16,1.3013453180205109e-17
5.05895,1.9343319899460763e-16,1.1689563192713685e-17
5.05975,1.916618476375727e-16,1.2153427535331807e-17
5.06055,2.003356969610506e-16,1.3225353078090249e-17
5.06135,2.0165636129069812e-16,1.2195870313013329e-17
5.06215,1.9278287987100384e-16,1.166014488397099e-17
5.06295,1.975141170945694e-16,9.716855698005448e-18
5.06376,2.0240914416276518e-16,1.1060889896091573e-17
5.06456,2.0199482209215364e-16,1.257166693105173e-17
5.06536,2.0050405033888152e-16,1.1745318246375153e-17
5.06616,1.9400565533421006e-16,1.2183631335947196e-17
5.06696,1.949791703970912e-16,1.070035699199994e-17
5.06776,2.0816449827805678e-16,1.1566197257228118e-17
5.06856,2.0234026285682841e-16,1.2687845525847445e-17
5.06936,1.9360644698249039e-16,1.2113911271878636e-17
5.07016,2.046244500083189e-16,1.0999884194553777e-17
5.07096,1.9941313998537782e-16,1.0413329247912392e-17
5.07176,1.982865498142614e-16,9.782048275713381e-18
5.07256,1.973221374119791e-16,1.1775832094948392e-17
5.07336,1.9265416923741861e-16,1.0745389688459505e-17
5.07417,2.0544549175288536e-16,1.0748783558666538e-17
5.07497,1.9519683807931534e-16,1.1295572978233312e-17
5.07577,1.910357536077021e-16,1.0680641158963734e-17
5.07657,2.0107021040602076e-16,9.3598376101391e-18
5.07737,1.911443530533653e-16,1.1596837450779917e-17
5.07817,1.9181594683965092e-16,1.2174489010304477e-17
5.07897,1.8412009291975055e-16,1.0145020312356533e-17
5.07977,1.8993849445661711e-16,1.0583910128044125e-17
5.08057,1.9512712881662848e-16,1.073552479001259e-17
5.08137,2.0080265014687648e-16,1.2288464980166409e-17
5.08217,1.9580427191263223e-16,1.2544635769344157e-17
5.08297,2.0116135528188894e-16,1.226690005064026e-17
5.08377,1.8892615978462181e-16,1.287832817456229e-17
5.08458,2.0111546971135536e-16,1.1820053137175959e-17
5.08538,2.1515944108633247e-16,1.1771197361682209e-17
5.08618,1.979415077841752e-16,1.034764716748054e-17
5.08698,1.962771710268648e-16,1.1703074986056365e-17
5.08778,1.9992813091777342e-16,1.2006593788379069e-17
