wavelength,flux,error
4816.18,-1.7960486001209744e-19,2.819429357512012e-17
4817.43,-3.67164800834826e-18,3.1067375776082964e-17
4818.68,-2.053650657881193e-18,3.112596699367277e-17
4819.93,1.6582594245009221e-18,3.272237129109551e-17
4821.18,3.725761782519889e-19,2.837791381360106e-17
4822.43,-7.37245784606688e-19,3.236369679301592e-17
4823.68,1.021986518659536e-18,3.7772577430112865e-17
4824.93,3.3763405954437125e-18,3.659095919343033e-17
4826.18,-4.642963066890311e-19,3.3006467260389435e-17
4827.43,-1.209939240671987e-18,3.601004522263334e-17
4828.68,-9.427346336206591e-19,4.2225765024881674e-17
4829.93,2.280884631484071e-18,3.8613701080316185e-17
4831.18,7.357632506911966e-19,4.341212207666015e-17
4832.43,-6.46508061566176e-19,3.4911708123260504e-17
4833.68,-1.7255238249433488e-19,4.219203464480223e-17
4834.93,1.8635069160650516e-18,4.3063672209517344e-17
4836.18,1.692944314183105e-18,4.0902375616251225e-17
4837.43,2.69665862952874e-18,4.0260958161497463e-17
4838.68,-5.765342535067273e-19,4.08350268773599e-17
4839.93,-4.820966343956988e-19,4.622933852835451e-17
4841.18,-5.408708708883009e-19,3.964608849220901e-17
4842.43,1.2316670267788962e-18,3.46484969235571e-17
4843.68,1.123842397882066e-18,2.980777061329319e-17
4844.93,-7.545881564356389e-20,3.779280126398074e-17
4846.18,1.0608943141137884e-18,3.8753931606200936e-17
4847.43,6.489324028338402e-19,3.749424148235322e-17
4848.68,1.1238310435679163e-18,3.473486261988542e-17
4849.93,2.0917825333440704e-18,3.4528719861017154e-17
4851.18,8.600261291470528e-19,3.179776841503758e-17
4852.43,1.3123825789450464e-18,2.99343565157785e-17
4853.68,-2.6909821883016085e-18,3.707672959272405e-17
4854.93,-6.821603991836242e-19,3.3506885373767444e-17
4856.18,1.3237396549968776e-18,5.313031006182332e-17
4857.43,1.1691420978037644e-18,1.0695126633963951e-16
4858.68,5.350464921741045e-18,2.6574581628501284e-16
4859.93,2.6577895239403463e-17,5.170979045983837e-16
4861.18,5.394724554274856e-17,6.204375703349163e-16
4862.43,3.628576071918297e-17,4.3083210631084455e-16
4863.68,1.0101621202433436e-17,2.473311030231935e-16
4864.93,3.1393658028901143e-19,1.1845673110299686e-16
4866.18,2.1479922729657435e-18,5.8723536212076e-17
4867.43,-1.1116024437713485e-18,4.011523878255508e-17
4868.68,6.985280362050399e-19,3.24484989403309e-17
4869.93,2.6009133341790686e-18,3.58933677177605e-17
4871.18,4.324658558306179e-19,4.0388007329017156e-17
4872.43,1.2347559400597502e-18,4.4404156015867065e-17
4873.68,-3.838297194175127e-19,4.6407178273731214e-17
4874.93,1.702840815636857e-18,3.9344517267372976e-17
4876.18,1.8748323790359526e-18,4.005231611076492e-17
4877.43,5.441303614126759e-19,4.3825459492364075e-17
4878.68,-1.1105237356520998e-18,4.4992794455554027e-17
4879.93,-1.393588260487726e-19,5.083171649945372e-17
4881.18,-2.561489312938275e-19,4.06464536694184e-17
4882.43,2.8382726735524014e-18,4.490636109530532e-17
4883.68,-2.0999568663139354e-18,4.4122826106247565e-17
4884.93,1.4691727882098427e-18,4.6470888019651743e-17
4886.18,7.848563796498201e-19,4.8667701565310574e-17
4887.43,8.029494481578196e-19,4.9839412507660235e-17
4888.68,1.801139144182543e-19,5.4749038463967913e-17
4889.93,-2.752193748583249e-19,5.3537856719268326e-17
4891.18,-4.070289552979167e-19,4.6662048823100465e-17
4892.43,1.7994799865092703e-18,5.1529567748168375e-17
